Etiology,Catering or banquet facility NO,Catering or banquet facility NI,Restaurant NO,Restaurant NI,Other commercial location NO,Other commercial location NI,Hospital or nursing home NO,Hospital or nursing home NI,Instituitional location NO,Instituitional location NI,Private home NO,Private home NI,Other private location  NO,Other private location  NI,Other location NO,Other location NI
Bacterial,,,,,,,,,,,,,,,,
Salmonella,1,25,1,7,-,-,-,-,-,-,-,-,-,-,-,-
Clostridium perfringens,7,121,2,11,1,11,-,-,-,-,1,17,-,-,-,-
"Escherichia coli, Shiga toxin-producing",-,-,-,-,-,-,-,-,-,-,2,16,-,-,-,-
Campylobacter,-,-,2,6,1,6,-,-,-,-,1,15,-,-,-,-
Bacillus cereus,3,260,9,38,-,-,-,-,-,-,-,-,-,-,-,-
Staphylococcus aureus enterotoxin,-,-,7,23,-,-,-,-,-,-,2,29,-,-,1,12
Vibrio parahaemolyticus,-,-,2,4,-,-,-,-,-,-,1,2,-,-,-,-
Vibrio cholerae,-,-,1,6,-,-,-,-,-,-,-,-,-,-,-,-
Shigella,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-
Clostridium botulinum,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-
Listeria monocytogenes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Escherichia coli, Enteroinvasive",1,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Staphylococcus spp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Escherichia coli, Enteroaggregative",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brucella spp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vibrio other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other,1,26,11,34,1,2,-,-,-,-,-,-,-,-,-,-
Subtotal,13,455,35,129,3,19,-,-,1,3,8,82,-,-,1,12
Chemical and toxin,,,,,,,,,,,,,,,,
Scombroid toxin/histamine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ciguatoxin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mycotoxins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Subtotal,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Parasitic,,,,,,,,,,,,,,,,
Cryptosporidium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trichinella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Giardia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cyclospora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Subtotal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Viral,,,,,,,,,,,,,,,,
Norovirus,14,459,127,1058,6,86,3,121,3,94,5,51,1,8,6,121
Hepatitis A virus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sapovirus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Subtotal,14,459,127,1058,6,86,3,121,3,94,5,51,1,8,6,121
Single etiology,28,923,163,1392,9,105,3,121,4,97,13,133,1,8,7,133
Multiple etiologies suspected__,2,17,5,32,-,-,-,-,1,68,2,28,-,-,-,-
Unknown etiology__,26,453,107,611,4,40,5,93,2,66,8,88,1,40,1,11
