Etiology,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,>= 1 Factor Reported,Outbreaks with reported contributing factors,Total outbreaks
Bacterial,,,,,,,,,,,,,,,
Salmonella,1,-,-,-,-,-,-,-,-,-,-,-,1,1,3
Clostridium perfringens,3,4,1,1,2,1,3,5,-,-,-,-,7,7,12
"Escherichia coli, Shiga toxin-producing",-,-,-,-,-,-,-,-,-,-,-,-,-,1,2
Campylobacter,1,-,-,-,1,-,1,-,-,-,-,-,2,3,7
Bacillus cereus,5,5,1,-,4,-,2,4,-,-,-,1,9,9,13
Staphylococcus aureus enterotoxin,2,5,-,1,3,-,3,1,-,1,-,1,6,6,10
Vibrio parahaemolyticus,-,-,-,-,-,-,-,-,-,-,-,2,2,3,3
Vibrio cholerae,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1
Shigella,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
Clostridium botulinum,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1
Listeria monocytogenes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Escherichia coli, Enteroinvasive",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Staphylococcus spp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Escherichia coli, Enteroaggregative",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brucella spp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vibrio other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other,2,4,-,3,1,-,2,4,-,-,1,-,7,7,13
Subtotal,14,18,2,5,11,1,11,14,-,1,2,5,36,40,67
Chemical and toxin,,,,,,,,,,,,,,,
Scombroid toxin/histamine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ciguatoxin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mycotoxins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Subtotal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Parasitic,,,,,,,,,,,,,,,
Cryptosporidium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trichinella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Giardia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Cyclospora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Subtotal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Viral,,,,,,,,,,,,,,,
Norovirus,-,-,-,-,1,-,-,-,-,-,-,-,1,72,177
Hepatitis A virus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sapovirus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Subtotal,-,-,-,-,1,-,-,-,-,-,-,-,1,72,177
Single etiology,14,18,2,5,12,1,11,14,-,1,2,5,37,112,246
Multiple etiologies suspected,3,1,-,-,-,-,2,-,-,-,-,-,4,5,13
Unknown etiology__,8,11,5,7,12,-,9,3,-,-,-,3,31,42,177
Total,25,30,7,12,24,1,22,17,-,1,2,8,72,159,436
