Etiology,No. Outbreaks CE,SE,Total,%,No. Illnesses CE,SE,Total,%,No. Hospitalizations CE,SE,Total,%
Bacterial,,,,,,,,,,,,
Salmonella,132,3,135,21,3047,34,3081,25,456,0,456,54
Clostridiumperfringens,18,12,30,5,512,244,756,6,3,5,8,1
Escherichia coli Shiga toxin-producing (STEC),25,2,27,4,370,16,386,3,98,5,103,12
Campylobacter,18,7,25,4,152,35,187,2,17,1,18,2
Bacillus cereus,6,13,19,3,340,301,641,5,0,0,0,0
Staphylococcus aureus enterotoxin,4,10,14,2,173,64,237,2,17,4,21,2
Vibrio parahaemolyticus,3,3,6,1,13,6,19,0,2,0,2,0
Vibrio cholerae,4,1,5,1,8,6,14,0,4,0,4,0
Shigella,2,1,3,0,21,3,24,0,2,0,2,0
Clostridium botulinum,1,1,2,0,2,3,5,0,2,2,4,0
Listeria monocytogenes,2,0,2,0,15,0,15,0,14,0,14,2
Escherichia coli Enteroinvasive,0,1,1,0,0,23,23,0,0,1,1,0
Staphylococcus spp,1,0,1,0,16,0,16,0,5,0,5,1
Escherichia coli Enteroaggregative,1,0,1,0,10,0,10,0,0,0,0,0
Brucella spp,1,0,1,0,3,0,3,0,3,0,3,0
Vibrio other,1,0,1,0,2,0,2,0,0,0,0,0
Other,0,13,13,2,0,62,62,1,0,0,0,0
Subtotal,219,67,286,44,4684,797,5481,45,623,18,641,76
Chemical and toxin,,,,,,,,,,,,
Scombroid toxin/Histamine,12,0,12,2,35,0,35,0,0,0,0,0
Ciguatoxin,11,0,11,2,33,0,33,0,3,0,3,0
Mycotoxins,1,0,1,0,7,0,7,0,0,0,0,0
Other,2,1,3,0,66,9,75,1,0,0,0,0
Subtotal,26,1,27,4,141,9,150,1,3,0,3,0
Parasitic,,,,,,,,,,,,
Cryptosporidium,2,0,2,0,9,0,9,0,0,0,0,0
Trichinella,2,0,2,0,8,0,8,0,1,0,1,0
Giardia,0,1,1,0,0,25,25,0,0,0,0,0
Cyclospora,1,0,1,0,15,0,15,0,0,0,0,0
Subtotal,5,1,6,1,32,25,57,0,1,0,1,0
Viral,,,,,,,,,,,,
Norovirus,145,177,322,50,3794,2140,5934,49,44,17,61,7
Hepatitis A virus,3,0,3,0,457,0,457,4,141,0,141,17
Sapovirus,1,0,1,0,15,0,15,0,0,0,0,0
Subtotal,149,177,326,51,4266,2140,6406,53,185,17,202,24
Single etiology,399,246,645,77,9123,2971,12094,85,812,35,847,97
Multiple etiologies confirmed or suspected´è_´è_´è_3,17,2,87,377,464,3,2,2,4,0,,
Unknown etiology´è_´è_´è_´è_´è_´è_,0,177,177,21,0,1701,1701,12,0,24,24,3
Total,403,436,839,100,9210,5049,14259,100,814,61,875,100
