Etiology,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,>= 1 Factor Reported,Outbreaks with reported contributing factors,Total outbreaks
Bacterial,,,,,,,,,,,,,,,
Salmonella,21,10,3,5,6,-,7,6,-,1,1,2,35,48,132
Clostridium perfringens,7,5,-,2,6,-,10,7,-,-,-,1,14,15,18
"Escherichia coli, Shiga toxin-producing",4,1,1,1,3,1,1,2,-,-,-,-,5,12,25
Campylobacter,1,-,-,1,-,-,-,1,-,-,-,1,2,10,18
Bacillus cereus,2,-,-,-,1,-,-,-,-,-,-,-,2,5,6
Staphylococcus aureus enterotoxin,2,2,1,-,-,-,-,-,-,-,-,-,4,4,4
Vibrio parahaemolyticus,-,-,-,-,-,-,-,-,-,-,-,1,1,2,3
Vibrio cholerae,-,1,-,-,-,-,1,-,-,-,-,-,2,3,4
Shigella,-,1,-,-,-,-,-,-,-,-,-,-,1,1,2
Clostridium botulinum,-,-,-,-,-,-,-,-,-,1,1,-,1,1,1
Listeria monocytogenes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
Escherichia coli Enteroinvasive,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Staphylococcus spp,-,-,-,-,-,1,-,1,-,-,-,-,1,1,1
Escherichia coli Enteroaggregative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Brucella spp,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
Vibrio other,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Subtotal,38,20,5,9,16,2,19,17,-,2,2,5,69,104,219
Chemical and toxin,,,,,,,,,,,,,,,
Scombroid toxin/histamine,-,-,-,2,2,-,-,-,-,-,-,-,4,10,12
Ciguatoxin,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11
Mycotoxins,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
Other,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2
Subtotal,-,-,-,2,2,-,-,-,-,-,-,-,4,23,26
Parasitic,,,,,,,,,,,,,,,
Cryptosporidium,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2
Trichinella,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2
Giardia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cyclospora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Subtotal,-,-,-,-,-,-,-,-,-,-,-,-,-,4,5
Viral,,,,,,,,,,,,,,,
Norovirus,-,1,-,-,-,-,-,-,-,-,-,-,1,84,145
Hepatitis A virus,-,1,-,-,-,-,-,-,-,-,-,-,1,3,3
Sapovirus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Subtotal,-,2,-,-,-,-,-,-,-,-,-,-,2,87,149
Single etiology,38,22,5,11,18,2,19,17,-,2,2,5,75,218,399
Multiple etiologies con_rmed,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4
Total,38,22,5,11,18,2,19,17,-,2,2,5,75,220,403
