Location,No. Outbreaks Total,No. Outbreaks %,No. IllnessesTotal,No. Illnesses %
Restaurant,459,61,5353,42
Sit-down dining,363,48,4139,33
Fast-food,62,8,768,6
Bu-et,16,2,240,2
Other or unknown type,24,3,374,3
Multiple types,10,1,72,1
Catering or banquet facility,102,14,3116,25
Private home,76,10,895,7
Institutional location,21,3,1377,11
School,8,1,785,6
Prison or jail,5,1,437,3
Camp,4,1,56,0
Day Care,2,0,46,0
O-ce or indoor workplace,2,0,53,0
Other location,7,1,113,1
Other commercial location,40,5,723,6
Grocery store,15,2,239,2
"Fair, festival, or temporary mobile service",13,2,290,2
Farm or dairy,11,1,192,2
Other,1,0,2,0
Hospital or nursing home,16,2,412,3
Nursing home,16,2,412,3
Other private location,7,1,234,2
Place of worship,6,1,224,2
Other,1,0,10,0
Hotel or motel,7,1,159,1
Single location*,751,90,12622,89
Multiple locations,40,5,830,6
Unknown location,48,6,807,6
Total,839,100,14259,100
